date,price
2019-10-23,7218
2019-10-24,7245
2019-10-25,7277
2019-10-28,7315
2019-10-29,7316
2019-10-30,7400
2019-10-31,7393
2019-11-01,7468
2019-11-04,7499
2019-11-05,7563
2019-11-06,7444
2019-11-07,7425
2019-11-08,7456
2019-11-11,7548
2019-11-12,7532
2019-11-13,7494
2019-11-14,7482
2019-11-15,7470
2019-11-18,7537
2019-11-19,7528
2019-11-20,7583
2019-11-21,7561
2019-11-22,7570
2019-11-25,7552
2019-11-26,7520
2019-11-27,7568
2019-11-28,7584
2019-11-29,7671
2019-12-02,7599
2019-12-03,7605
2019-12-04,7598
2019-12-05,7592
2019-12-06,7551
2019-12-09,7414
2019-12-10,7363
2019-12-11,7346
2019-12-12,7381
2019-12-13,7437
2019-12-16,7356
2019-12-17,7414
2019-12-18,7440
2019-12-19,7568
2019-12-20,7557
2019-12-23,7562
2019-12-24,7577
2019-12-25,7566
2019-12-26,7650
2019-12-27,7748
2019-12-30,7718
2019-12-31,7720
2020-01-02,7720
2020-01-03,7739
2020-01-06,7740
2020-01-07,7776
2020-01-08,7722
2020-01-09,7827
2020-01-10,7841
2020-01-13,7894
2020-01-14,7817
2020-01-15,7753
2020-01-16,7744
2020-01-17,7757
2020-01-20,7753
2020-01-21,7607
2020-01-22,7633
2020-01-23,7587
2020-02-03,7108
2020-02-04,7264
2020-02-05,7376
2020-02-06,7613
2020-02-07,7729
2020-02-10,7704
2020-02-11,7722
2020-02-12,7604
2020-02-13,7630
2020-02-14,7604
2020-02-17,7745
2020-02-18,7748
2020-02-19,7648
2020-02-20,7510
2020-02-21,7519
2020-02-24,7516
2020-02-25,7513
2020-02-26,7502
2020-02-27,7540
2020-02-28,7315
2020-03-02,7404
2020-03-03,7335
2020-03-04,7338
2020-03-05,7346
2020-03-06,7341
2020-03-09,7027
2020-03-10,7101
2020-03-11,7140
2020-03-12,6933
2020-03-13,6875
2020-03-16,6838
2020-03-17,6812
2020-03-18,6674
2020-03-19,6729
2020-03-20,6782
2020-03-23,6776
2020-03-24,6857
2020-03-25,6880
2020-03-26,6719
2020-03-27,6849
2020-03-30,6815
2020-03-31,6638
2020-04-01,6563
2020-04-02,6567
2020-04-03,6542
2020-04-07,6668
2020-04-08,6700
2020-04-09,6812
2020-04-10,6752
2020-04-13,6714
2020-04-14,6683
2020-04-15,6677
2020-04-16,6605
2020-04-17,6681
2020-04-20,6657
2020-04-21,6499
2020-04-22,6574
2020-04-23,6638
2020-04-24,6603
2020-04-27,6608
2020-04-28,6655
2020-04-29,6655
2020-04-30,6639
2020-05-06,6628
2020-05-07,6669
2020-05-08,6678
2020-05-11,6711
2020-05-12,6667
2020-05-13,6794
2020-05-14,6787
2020-05-15,6806
2020-05-18,6870
2020-05-19,6827
2020-05-20,6832
2020-05-21,6828
2020-05-22,6755
2020-05-25,6779
2020-05-26,6748
2020-05-27,6741
2020-05-28,6957
2020-05-29,6978
2020-06-01,7030
2020-06-02,7017
2020-06-03,7080
2020-06-04,7133
2020-06-05,7124
2020-06-08,7163
2020-06-09,7228
2020-06-10,7223
2020-06-11,7308
2020-06-12,7298
2020-06-15,7372
2020-06-16,7388
2020-06-17,7429
2020-06-18,7453
2020-06-19,7514
2020-06-22,7481
2020-06-23,7491
2020-06-24,7534
2020-06-29,7443
2020-06-30,7439
2020-07-01,7492
2020-07-02,7515
2020-07-03,7550
2020-07-06,7618
2020-07-07,7625
2020-07-08,7703
2020-07-09,7761
2020-07-10,7755
2020-07-13,7879
2020-07-14,8024
2020-07-15,8046
2020-07-16,8134
2020-07-17,8412
2020-07-20,8719
2020-07-21,8700
2020-07-22,8655
2020-07-23,8639
2020-07-24,8530
2020-07-27,8587
2020-07-28,8580
2020-07-29,8605
2020-07-30,8591
2020-07-31,8660
2020-08-03,8917
2020-08-04,9038
2020-08-05,9012
2020-08-06,9279
2020-08-07,9148
2020-08-10,8395
2020-08-11,8445
2020-08-12,8382
2020-08-13,8521
2020-08-14,8560
2020-08-17,8677
2020-08-18,8634
2020-08-19,8712
2020-08-20,8578
2020-08-21,8602
2020-08-24,8572
2020-08-25,8449
2020-08-26,8499
2020-08-27,8462
2020-08-28,8603
2020-08-31,8661
2020-09-01,8710
2020-09-02,8702
2020-09-03,8697
2020-09-04,8674
2020-09-07,8642
2020-09-08,8693
2020-09-09,8666
2020-09-10,8640
2020-09-11,8653
