date,price
2021-12-02,2688
2021-12-03,2734
2021-12-06,2717
2021-12-07,2721
2021-12-08,2706
2021-12-09,2789
2021-12-10,2822
2021-12-13,2817
2021-12-14,2794
2021-12-15,2868
2021-12-16,2891
2021-12-17,2924
2021-12-20,2904
2021-12-21,2893
2021-12-22,2896
2021-12-23,2955
2021-12-24,2983
2021-12-27,2936
2021-12-28,2963
2021-12-29,2931
2021-12-30,2935
2021-12-31,2912
2022-01-04,2981
2022-01-05,2996
2022-01-06,2918
2022-01-07,2938
2022-01-10,2941
2022-01-11,2930
2022-01-12,2956
2022-01-13,2946
2022-01-14,2890
2022-01-17,2868
2022-01-18,2872
2022-01-19,2899
2022-01-20,2959
2022-01-21,3004
2022-01-24,3022
2022-01-25,3033
2022-01-26,3055
2022-01-27,3153
2022-01-28,3161
2022-02-07,3425
2022-02-08,3390
2022-02-09,3420
2022-02-10,3444
2022-02-11,3423
2022-02-14,3423
2022-02-15,3416
2022-02-16,3428
2022-02-17,3486
2022-02-18,3505
2022-02-21,3502
2022-02-22,3592
2022-02-23,3641
2022-02-24,3825
2022-02-25,3612
2022-02-28,3587
2022-03-01,3655
2022-03-02,3686
2022-03-03,3694
2022-03-04,3688
2022-03-07,3913
2022-03-08,4052
2022-03-09,4131
2022-03-10,4069
2022-03-11,4084
2022-03-14,4038
2022-03-15,3910
2022-03-16,4021
2022-03-17,3982
2022-03-18,4093
2022-03-21,4134
2022-03-22,4285
2022-03-23,4281
2022-03-24,4233
2022-03-25,4210
2022-03-28,3906
2022-03-29,3911
2022-03-30,3831
2022-03-31,3848
2022-04-01,3624
2022-04-06,3660
2022-04-07,3709
2022-04-08,3745
2022-04-11,3765
2022-04-12,3735
2022-04-13,3687
2022-04-14,3771
2022-04-15,3760
2022-04-18,3803
2022-04-19,3866
2022-04-20,3836
2022-04-21,3862
2022-04-22,3749
2022-04-25,3597
2022-04-26,3667
2022-04-27,3728
2022-04-28,3825
2022-04-29,3835
2022-05-05,3799
2022-05-06,3645
2022-05-09,3551
2022-05-10,3611
2022-05-11,3609
2022-05-12,3597
2022-05-13,3685
2022-05-16,3761
2022-05-17,3759
2022-05-18,3752
2022-05-19,3730
2022-05-20,3796
2022-05-23,3755
2022-05-24,3629
2022-05-25,3664
2022-05-26,3653
2022-05-27,3712
2022-05-30,3763
2022-05-31,3781
2022-06-01,3671
2022-06-02,3710
2022-06-06,3734
2022-06-07,3655
2022-06-08,3767
2022-06-09,3748
2022-06-10,3851
2022-06-13,3721
2022-06-14,3687
2022-06-15,3662
2022-06-16,3661
2022-06-17,3744
2022-06-20,3648
2022-06-21,3621
2022-06-22,3554
2022-06-23,3425
2022-06-24,3327
2022-06-27,2785
2022-06-28,2838
2022-06-29,2815
2022-06-30,2831
2022-07-01,2834
2022-07-04,2769
2022-07-05,2767
2022-07-06,2688
2022-07-07,2780
2022-07-08,2823
2022-07-11,2880
2022-07-12,2852
2022-07-13,2819
2022-07-14,2839
2022-07-15,2751
2022-07-18,2863
2022-07-19,2785
2022-07-20,2703
2022-07-21,2695
2022-07-22,2636
2022-07-25,2625
2022-07-26,2683
2022-07-27,2714
2022-07-28,2768
2022-07-29,2752
2022-08-01,2761
2022-08-02,2721
2022-08-03,2718
2022-08-04,2729
2022-08-05,2852
2022-08-08,2811
2022-08-09,2792
2022-08-10,2837
2022-08-11,2845
2022-08-12,2906
2022-08-15,2830
2022-08-16,2829
2022-08-17,2827
2022-08-18,2770
2022-08-19,2833
2022-08-22,2848
2022-08-23,2980
2022-08-24,3019
2022-08-25,2976
2022-08-26,2910
2022-08-29,2894
2022-08-30,2867
2022-08-31,2901
2022-09-01,2887
2022-09-02,2927
2022-09-05,2946
2022-09-06,2914
2022-09-07,2953
2022-09-08,2939
2022-09-09,2957
2022-09-13,3149
2022-09-14,3132
2022-09-15,3073
2022-09-16,3079
2022-09-19,3067
2022-09-20,3044
2022-09-21,3065
2022-09-22,3108
2022-09-23,3085
2022-09-26,3053
2022-09-27,3104
2022-09-28,3169
2022-09-29,3239
2022-09-30,3201
2022-10-10,3177
2022-10-11,3155
2022-10-12,3168
2022-10-13,3157
2022-10-14,3225
2022-10-17,3089
2022-10-18,3047
2022-10-19,3040
2022-10-20,3048
2022-10-21,3002
2022-10-24,3016
2022-10-25,2993
2022-10-26,3029
2022-10-27,2976
2022-10-28,2981
2022-10-31,2994
2022-11-01,3112
2022-11-02,3069
2022-11-03,3038
2022-11-04,3078
2022-11-07,3074
2022-11-08,3159
2022-11-09,3186
2022-11-10,3219
2022-11-11,3168
2022-11-14,3073
2022-11-15,3040
2022-11-16,3016
2022-11-17,3004
2022-11-18,2957
2022-11-21,2990
2022-11-22,3012
2022-11-23,3038
2022-11-24,3019
2022-11-25,3058
2022-11-28,3047
2022-11-29,3091
2022-11-30,3062
2022-12-01,3049
2022-12-02,3079
2022-12-05,3046
2022-12-06,3088
2022-12-07,3007
2022-12-08,3100
2022-12-09,3123
2022-12-12,3043
2022-12-13,3037
2022-12-14,2993
2022-12-15,3002
2022-12-16,3019
2022-12-19,2980
2022-12-20,2984
2022-12-21,3028
2022-12-22,3043
2022-12-23,3054
2022-12-26,3134
2022-12-27,3157
2022-12-28,3135
2022-12-29,3153
2022-12-30,3223
2023-01-03,3222
2023-01-04,3184
2023-01-05,3158
2023-01-06,3140
2023-01-09,3152
2023-01-10,3138
2023-01-11,3170
2023-01-12,3204
2023-01-13,3238
2023-01-16,3210
2023-01-17,3201
2023-01-18,3281
2023-01-19,3198
2023-01-20,3148
2023-01-30,3194
2023-01-31,3222
2023-02-01,3224
2023-02-02,3223
2023-02-03,3224
2023-02-06,3257
2023-02-07,3193
2023-02-08,3190
2023-02-09,3154
